od_id,origin_node,destination_node,base_demand_vph,purpose
OD0858,N045,N025,429,commute
OD0859,N046,N074,317,commercial
OD0860,N012,N104,86,commercial
OD0861,N058,N112,370,commute
OD0862,N017,N048,226,mixed
OD0863,N003,N099,135,commute
OD0864,N042,N024,446,school
OD0865,N117,N045,182,school
OD0866,N067,N028,387,mixed
OD0867,N059,N088,437,commute
OD0868,N042,N101,352,commute
OD0869,N053,N090,257,mixed
OD0870,N053,N111,175,commute
OD0871,N035,N112,353,commute
OD0872,N097,N093,247,school
OD0873,N107,N034,454,commute
OD0874,N089,N093,173,commute
OD0875,N082,N093,64,mixed
OD0876,N007,N080,421,commute
OD0877,N049,N078,205,school
OD0878,N026,N105,176,school
OD0879,N084,N082,333,commute
OD0880,N003,N023,64,school
OD0881,N002,N013,212,commercial
OD0882,N001,N005,375,commute
OD0883,N083,N028,497,school
OD0884,N118,N054,91,commercial
OD0885,N012,N110,191,mixed
OD0886,N032,N113,55,commute
OD0887,N029,N016,398,school
OD0888,N058,N056,157,commute
OD0889,N015,N096,308,school
OD0890,N034,N080,329,commute
OD0891,N014,N062,439,commute
OD0892,N087,N089,201,school
OD0893,N094,N003,69,school
OD0894,N022,N020,371,commercial
OD0895,N036,N005,305,commute
OD0896,N040,N107,409,school
OD0897,N086,N061,417,commercial
OD0898,N117,N112,167,commercial
OD0899,N030,N095,376,school
OD0900,N105,N094,196,mixed
OD0901,N056,N026,187,school
OD0902,N017,N059,383,commercial
OD0903,N043,N120,352,commute
OD0904,N003,N084,445,mixed
OD0905,N091,N011,256,commute
OD0906,N046,N031,176,commercial
OD0907,N106,N071,273,mixed
OD0908,N060,N023,98,mixed
OD0909,N032,N031,382,commute
OD0910,N003,N025,446,mixed
OD0911,N013,N028,398,mixed
OD0912,N023,N019,333,school
OD0913,N078,N014,42,mixed
OD0914,N062,N018,399,school
OD0915,N105,N061,69,commercial
OD0916,N043,N092,392,mixed
OD0917,N081,N110,90,commute
OD0918,N060,N099,438,mixed
OD0919,N090,N103,223,mixed
OD0920,N020,N047,252,mixed
OD0921,N073,N093,186,mixed
OD0922,N032,N037,83,commute
OD0923,N029,N103,275,mixed
OD0924,N104,N054,446,commute
OD0925,N068,N052,46,school
OD0926,N091,N107,319,mixed
OD0927,N018,N115,145,school
OD0928,N032,N114,489,commercial
OD0929,N074,N115,437,school
OD0930,N084,N070,249,mixed
OD0931,N061,N104,440,mixed
OD0932,N117,N047,457,commercial
OD0933,N092,N097,385,mixed
OD0934,N039,N061,263,commercial
OD0935,N083,N017,340,school
OD0936,N107,N120,66,mixed
OD0937,N024,N095,326,mixed
OD0938,N060,N059,102,school
OD0939,N010,N088,198,commercial
OD0940,N112,N113,213,commute
OD0941,N045,N061,479,school
OD0942,N016,N095,370,school
OD0943,N020,N091,415,commercial
OD0944,N019,N052,349,school
OD0945,N025,N079,450,school
OD0946,N047,N119,469,commute
OD0947,N058,N059,129,commute
OD0948,N078,N098,334,commercial
OD0949,N088,N064,139,mixed
OD0950,N048,N117,348,school
OD0951,N031,N060,107,mixed
OD0952,N117,N031,482,commercial
OD0953,N025,N101,144,commute
OD0954,N032,N052,142,commercial
OD0955,N032,N047,396,school
OD0956,N037,N057,359,commercial
OD0957,N023,N024,320,commute
OD0958,N024,N091,321,commute
OD0959,N076,N031,316,commercial
OD0960,N068,N037,125,mixed
OD0961,N080,N108,173,commute
OD0962,N008,N089,423,commercial
OD0963,N048,N120,91,school
OD0964,N099,N017,246,mixed
OD0965,N037,N104,449,school
OD0966,N086,N065,425,commute
OD0967,N005,N077,391,commute
OD0968,N006,N085,82,school
OD0969,N031,N011,135,commute
OD0970,N018,N077,154,mixed
OD0971,N024,N036,79,commute
OD0972,N068,N027,66,school
OD0973,N029,N050,362,commute
OD0974,N003,N097,187,mixed
OD0975,N050,N088,432,commute
OD0976,N090,N005,478,school
OD0977,N021,N029,199,school
OD0978,N083,N049,387,mixed
OD0979,N108,N009,392,school
OD0980,N071,N100,197,school
OD0981,N103,N099,489,commute
OD0982,N071,N004,187,commute
OD0983,N071,N088,188,school
OD0984,N003,N029,357,commute
OD0985,N108,N067,151,school
OD0986,N046,N016,61,commute
OD0987,N057,N088,493,mixed
OD0988,N090,N048,171,mixed
OD0989,N054,N016,279,commute
OD0990,N022,N051,481,school
OD0991,N039,N058,444,school
OD0992,N034,N109,209,mixed
OD0993,N039,N109,110,commercial
OD0994,N089,N051,488,school
OD0995,N059,N006,411,commute
OD0996,N039,N042,399,commercial
OD0997,N051,N101,192,commute
OD0998,N111,N052,61,mixed
OD0999,N010,N049,375,commercial
OD1000,N084,N016,99,commute
OD1001,N054,N075,151,commercial
OD1002,N094,N117,410,commercial
OD1003,N017,N011,339,commercial
OD1004,N106,N035,48,mixed
OD1005,N016,N040,84,commute
OD1006,N056,N077,398,commute
OD1007,N025,N116,442,school
OD1008,N044,N049,181,commercial
OD1009,N117,N005,490,school
OD1010,N085,N066,188,commute
OD1011,N114,N068,220,commute
OD1012,N092,N086,284,school
OD1013,N061,N099,280,commute
OD1014,N049,N115,212,school
OD1015,N114,N006,204,school
OD1016,N081,N051,300,commute
OD1017,N081,N045,430,commute
OD1018,N015,N024,59,school
OD1019,N102,N098,264,commute
OD1020,N024,N065,273,mixed
OD1021,N024,N093,461,commute
OD1022,N085,N082,474,mixed
OD1023,N031,N047,264,commute
OD1024,N085,N001,406,commercial
OD1025,N037,N088,132,commercial
OD1026,N079,N110,256,commercial
OD1027,N011,N047,318,mixed
OD1028,N018,N023,482,commercial
OD1029,N013,N043,217,commute
OD1030,N025,N004,332,mixed
OD1031,N076,N084,201,school
OD1032,N087,N109,380,mixed
OD1033,N055,N099,254,commute
OD1034,N014,N063,295,mixed
OD1035,N022,N017,57,commute
OD1036,N063,N091,306,commercial
OD1037,N070,N109,117,commute
OD1038,N060,N100,482,commute
OD1039,N071,N102,70,mixed
OD1040,N103,N077,189,commercial
OD1041,N089,N010,375,commercial
OD1042,N068,N057,41,school
OD1043,N020,N113,307,mixed
OD1044,N117,N094,203,commercial
OD1045,N119,N032,403,school
OD1046,N075,N080,305,commercial
OD1047,N078,N028,390,commute
OD1048,N007,N064,290,commute
OD1049,N082,N116,360,commercial
OD1050,N054,N045,297,mixed
OD1051,N045,N042,210,mixed
OD1052,N103,N111,85,mixed
OD1053,N061,N034,98,school
OD1054,N118,N071,461,commercial
OD1055,N075,N065,478,mixed
OD1056,N080,N019,393,commercial
OD1057,N029,N017,394,commercial
OD1058,N034,N006,112,commercial
OD1059,N084,N042,210,mixed
OD1060,N076,N006,339,school
OD1061,N103,N021,496,commercial
OD1062,N074,N043,329,commercial
OD1063,N070,N106,496,mixed
OD1064,N062,N021,498,commute
OD1065,N004,N102,389,commercial
OD1066,N089,N024,361,commute
OD1067,N033,N081,326,mixed
OD1068,N011,N071,219,school
OD1069,N044,N119,182,commute
OD1070,N085,N094,318,commercial
OD1071,N043,N022,365,commercial
OD1072,N041,N105,420,school
OD1073,N085,N074,410,commute
OD1074,N109,N052,292,commercial
OD1075,N064,N051,269,school
OD1076,N085,N041,263,commercial
OD1077,N115,N072,459,commute
OD1078,N060,N044,242,school
OD1079,N110,N026,412,commercial
OD1080,N119,N063,284,commute
OD1081,N063,N043,227,school
OD1082,N022,N120,206,commercial
OD1083,N111,N062,217,commercial
OD1084,N010,N088,324,commercial
OD1085,N074,N054,77,commercial
OD1086,N094,N107,487,commute
OD1087,N081,N032,305,school
OD1088,N012,N060,424,commute
OD1089,N054,N059,325,school
OD1090,N105,N014,153,school
OD1091,N073,N031,289,mixed
OD1092,N063,N103,147,commercial
OD1093,N089,N068,101,commute
OD1094,N086,N120,341,commute
OD1095,N009,N026,210,school
OD1096,N013,N012,359,mixed
OD1097,N080,N070,445,commute
OD1098,N007,N008,258,commute
OD1099,N021,N088,233,school
OD1100,N010,N089,107,mixed
OD1101,N024,N063,330,commercial
OD1102,N051,N046,291,commute
OD1103,N025,N107,142,commute
OD1104,N062,N082,359,school
OD1105,N089,N071,424,mixed
OD1106,N023,N075,289,commute
OD1107,N076,N064,189,commute
OD1108,N114,N104,355,mixed
OD1109,N089,N015,343,mixed
OD1110,N044,N061,156,commercial
OD1111,N077,N039,107,mixed
OD1112,N015,N069,408,mixed
OD1113,N116,N101,212,mixed
OD1114,N052,N026,151,commute
OD1115,N099,N044,349,commute
OD1116,N111,N049,75,commercial
OD1117,N024,N036,240,commute
OD1118,N107,N108,232,commercial
OD1119,N074,N056,191,school
OD1120,N093,N015,250,commercial
OD1121,N052,N054,400,school
OD1122,N005,N062,93,mixed
OD1123,N017,N031,495,school
OD1124,N037,N012,203,mixed
OD1125,N039,N055,90,school
OD1126,N111,N079,299,mixed
OD1127,N054,N069,497,school
OD1128,N089,N034,179,commercial
OD1129,N111,N079,135,school
OD1130,N111,N078,366,commute
OD1131,N080,N026,210,mixed
OD1132,N119,N074,301,commercial
OD1133,N063,N052,499,commercial
OD1134,N049,N086,97,commute
OD1135,N017,N055,189,commercial
OD1136,N120,N030,89,mixed
OD1137,N002,N050,387,school
OD1138,N019,N073,200,school
OD1139,N058,N072,461,commute
OD1140,N016,N075,118,commute
OD1141,N035,N031,156,commute
OD1142,N109,N067,257,commute
OD1143,N039,N050,430,commercial
OD1144,N052,N023,88,mixed
OD1145,N048,N034,359,school
OD1146,N081,N099,334,commute
OD1147,N012,N095,257,mixed
OD1148,N105,N009,215,commute
OD1149,N038,N041,335,mixed
OD1150,N119,N077,369,mixed
OD1151,N034,N085,222,commercial
OD1152,N085,N052,423,commercial
OD1153,N110,N039,120,commercial
OD1154,N003,N015,72,mixed
OD1155,N013,N114,204,school
OD1156,N062,N003,389,mixed
OD1157,N043,N035,87,school
OD1158,N089,N074,105,school
OD1159,N028,N040,75,commute
OD1160,N059,N072,286,commercial
OD1161,N116,N054,272,commute
OD1162,N107,N077,348,school
OD1163,N032,N110,355,commercial
OD1164,N062,N109,208,school
OD1165,N040,N029,163,school
OD1166,N077,N088,444,commute
OD1167,N035,N031,204,school
OD1168,N099,N012,251,school
OD1169,N036,N094,152,commute
OD1170,N077,N100,275,commute
OD1171,N049,N119,113,mixed
OD1172,N083,N077,70,mixed
OD1173,N102,N063,260,mixed
OD1174,N101,N034,399,commercial
OD1175,N070,N083,131,commercial
OD1176,N056,N109,136,school
OD1177,N033,N001,57,mixed
OD1178,N035,N119,72,school
OD1179,N010,N071,472,school
OD1180,N058,N052,448,mixed
OD1181,N119,N014,191,school
OD1182,N046,N112,81,mixed
OD1183,N104,N111,48,commercial
OD1184,N088,N114,446,school
OD1185,N084,N041,363,commute
OD1186,N049,N073,486,school
OD1187,N023,N031,317,commercial
OD1188,N034,N094,444,mixed
OD1189,N095,N059,95,commute
OD1190,N117,N055,93,school
OD1191,N113,N010,488,mixed
OD1192,N007,N062,429,mixed
OD1193,N062,N069,52,commute
OD1194,N104,N062,59,commute
OD1195,N076,N055,423,school
OD1196,N108,N047,316,commute
OD1197,N107,N022,108,school
OD1198,N041,N081,189,commute
OD1199,N105,N106,387,mixed
OD1200,N042,N109,132,school
OD1201,N041,N045,338,commercial
OD1202,N112,N063,100,school
OD1203,N035,N053,493,mixed
OD1204,N080,N095,138,mixed
OD1205,N091,N011,310,commute
OD1206,N066,N012,333,school
OD1207,N112,N096,463,mixed
OD1208,N090,N116,283,school
OD1209,N087,N057,484,commercial
OD1210,N047,N073,437,school
OD1211,N076,N032,480,commercial
OD1212,N017,N004,337,mixed
OD1213,N055,N088,213,commute
OD1214,N118,N003,210,commercial
OD1215,N057,N106,228,mixed
OD1216,N101,N056,51,mixed
OD1217,N083,N033,397,commute
OD1218,N024,N092,84,school
OD1219,N019,N063,313,school
OD1220,N072,N051,59,commercial
OD1221,N010,N020,483,commercial
OD1222,N120,N016,387,commercial
OD1223,N013,N057,255,commercial
OD1224,N005,N092,301,commercial
OD1225,N019,N039,427,commute
OD1226,N010,N054,179,mixed
OD1227,N052,N068,313,commute
OD1228,N107,N071,314,mixed
OD1229,N022,N116,314,school
OD1230,N072,N001,103,commercial
OD1231,N103,N089,323,school
OD1232,N009,N018,339,commute
OD1233,N110,N018,187,mixed
OD1234,N118,N008,80,commercial
OD1235,N017,N100,58,commute
OD1236,N057,N008,178,commute
OD1237,N117,N046,157,school
OD1238,N089,N063,219,commute
OD1239,N055,N026,250,commercial
OD1240,N028,N087,184,commute
OD1241,N118,N010,134,school
OD1242,N078,N054,180,commute
OD1243,N114,N073,330,school
OD1244,N103,N027,350,commute
OD1245,N064,N030,358,mixed
OD1246,N107,N010,116,commercial
OD1247,N070,N091,194,commute
OD1248,N090,N075,291,school
OD1249,N054,N072,204,mixed
OD1250,N059,N019,341,mixed
OD1251,N013,N075,145,commute
OD1252,N054,N029,57,commute
OD1253,N051,N094,458,commute
OD1254,N027,N066,253,mixed
OD1255,N066,N065,192,commercial
OD1256,N030,N020,432,commercial
OD1257,N030,N116,458,school
OD1258,N005,N093,280,mixed
OD1259,N027,N046,469,commute
OD1260,N107,N083,190,commercial
OD1261,N081,N021,434,commute
OD1262,N028,N057,446,commute
OD1263,N007,N041,457,mixed
OD1264,N099,N076,353,commercial
OD1265,N100,N047,466,commercial
OD1266,N091,N105,468,school
OD1267,N031,N075,296,school
OD1268,N112,N088,366,commercial
OD1269,N021,N112,404,mixed
OD1270,N073,N064,399,mixed
OD1271,N103,N062,164,school
OD1272,N013,N103,77,commute
OD1273,N026,N034,470,school
OD1274,N033,N072,384,commercial
OD1275,N098,N083,419,commercial
OD1276,N103,N082,386,commercial
OD1277,N110,N073,72,commute
OD1278,N027,N043,181,commute
OD1279,N082,N081,342,school
OD1280,N102,N005,488,commercial
OD1281,N010,N076,49,school
OD1282,N090,N013,481,mixed
OD1283,N049,N023,47,commercial
OD1284,N028,N002,362,mixed
OD1285,N002,N011,436,commute
OD1286,N116,N103,397,commercial
OD1287,N105,N007,286,school
OD1288,N017,N115,436,commercial
OD1289,N014,N072,190,commercial
OD1290,N104,N070,314,commute
OD1291,N035,N043,125,commute
OD1292,N054,N009,275,mixed
OD1293,N017,N093,478,school
OD1294,N026,N052,390,mixed
OD1295,N096,N115,72,school
OD1296,N071,N044,77,commute
OD1297,N046,N099,319,mixed
OD1298,N021,N039,122,school
OD1299,N011,N069,313,commercial
OD1300,N075,N034,109,commute
OD1301,N054,N108,476,commute
OD1302,N040,N060,326,school
OD1303,N008,N020,491,commercial
OD1304,N033,N004,160,mixed
OD1305,N045,N053,347,commute
OD1306,N086,N062,376,school
OD1307,N007,N112,331,commute
OD1308,N094,N070,266,commercial
OD1309,N086,N055,225,commute
OD1310,N052,N035,384,mixed
OD1311,N055,N109,80,commute
OD1312,N037,N109,131,commercial
OD1313,N037,N072,497,commute
OD1314,N065,N074,126,mixed
OD1315,N010,N021,93,mixed
OD1316,N081,N007,66,commute
OD1317,N104,N082,254,commercial
OD1318,N026,N057,201,mixed
OD1319,N015,N091,351,school
OD1320,N013,N027,401,mixed
OD1321,N004,N073,68,commute
OD1322,N074,N067,250,commercial
OD1323,N057,N113,481,commute
OD1324,N076,N049,90,commercial
OD1325,N055,N071,245,commercial
OD1326,N028,N047,440,school
OD1327,N025,N118,340,school
OD1328,N020,N086,463,commercial
OD1329,N063,N091,139,commercial
OD1330,N109,N106,98,school
OD1331,N084,N038,41,commute
OD1332,N001,N070,376,commute
OD1333,N067,N088,417,commute
OD1334,N051,N050,391,mixed
OD1335,N119,N032,266,school
OD1336,N079,N021,156,commercial
OD1337,N083,N061,54,commercial
OD1338,N097,N071,437,commercial
OD1339,N005,N031,160,commute
OD1340,N065,N005,285,mixed
OD1341,N099,N047,347,commercial
OD1342,N048,N100,401,school
OD1343,N059,N097,262,school
OD1344,N098,N034,379,school
OD1345,N112,N072,394,commute
OD1346,N038,N006,116,commute
OD1347,N032,N078,395,mixed
OD1348,N020,N060,152,mixed
OD1349,N062,N070,309,school
OD1350,N082,N050,124,commercial
OD1351,N086,N110,44,mixed
OD1352,N095,N009,484,commercial
OD1353,N037,N085,406,school
OD1354,N035,N007,335,school
OD1355,N053,N084,297,mixed
OD1356,N068,N083,194,commercial
OD1357,N027,N097,480,commercial
OD1358,N090,N014,460,commercial
OD1359,N067,N055,265,mixed
OD1360,N003,N075,120,mixed
OD1361,N053,N010,214,commute
OD1362,N052,N056,433,mixed
OD1363,N010,N054,475,mixed
OD1364,N021,N030,167,commute
OD1365,N098,N109,186,commercial
OD1366,N112,N022,497,commercial
OD1367,N065,N108,50,school
OD1368,N071,N017,131,commercial
OD1369,N059,N039,245,school
OD1370,N080,N007,326,commute
OD1371,N043,N119,147,mixed
OD1372,N089,N041,47,mixed
OD1373,N050,N038,155,school
OD1374,N020,N037,253,commute
OD1375,N102,N092,120,commute
OD1376,N052,N092,226,commercial
OD1377,N014,N035,106,school
OD1378,N074,N016,267,school
OD1379,N114,N095,253,commute
OD1380,N029,N102,89,commercial
OD1381,N037,N026,236,school
OD1382,N031,N066,411,commercial
OD1383,N099,N011,390,commercial
OD1384,N084,N072,393,commute
OD1385,N064,N086,313,commute
OD1386,N018,N114,422,school
OD1387,N094,N026,171,school
OD1388,N054,N120,182,commute
OD1389,N058,N064,193,mixed
OD1390,N084,N055,367,commute
OD1391,N047,N108,89,commute
OD1392,N108,N109,313,mixed
OD1393,N021,N009,452,commercial
OD1394,N039,N019,241,mixed
OD1395,N032,N026,371,school
OD1396,N097,N056,93,mixed
OD1397,N078,N089,433,commute
OD1398,N021,N042,372,commercial
OD1399,N058,N041,171,commute
OD1400,N082,N081,323,mixed
OD1401,N066,N045,60,school
OD1402,N088,N004,429,commercial
OD1403,N025,N075,246,school
OD1404,N026,N059,225,commercial
OD1405,N055,N021,319,school
OD1406,N100,N025,347,mixed
OD1407,N059,N005,498,commute
OD1408,N029,N091,307,school
OD1409,N095,N062,62,mixed
OD1410,N041,N108,144,school
OD1411,N080,N067,177,mixed
OD1412,N022,N020,316,commute
OD1413,N011,N082,219,commercial
OD1414,N019,N066,140,commute
OD1415,N099,N083,139,commercial
OD1416,N080,N034,317,commute
OD1417,N047,N031,212,mixed
OD1418,N006,N060,343,commercial
OD1419,N065,N051,370,commute
OD1420,N001,N076,264,commercial
OD1421,N018,N027,271,commute
OD1422,N015,N062,395,mixed
OD1423,N058,N067,57,commute
OD1424,N014,N069,253,school
OD1425,N008,N055,249,mixed
OD1426,N034,N026,134,school
OD1427,N024,N040,460,commute
OD1428,N028,N030,166,commercial
OD1429,N017,N015,204,commute
OD1430,N090,N067,475,mixed
OD1431,N066,N075,391,commercial
OD1432,N064,N001,92,commercial
OD1433,N030,N017,382,commercial
OD1434,N082,N022,203,commercial
OD1435,N042,N105,283,commercial
OD1436,N033,N054,80,school
OD1437,N032,N108,88,school
OD1438,N109,N003,427,school
OD1439,N032,N108,483,school
OD1440,N076,N080,313,school
OD1441,N098,N045,352,commercial
OD1442,N076,N055,195,school
OD1443,N015,N116,417,commercial
OD1444,N031,N110,205,school
OD1445,N029,N067,488,school
OD1446,N097,N052,89,mixed
OD1447,N060,N054,59,school
OD1448,N042,N030,348,commercial
OD1449,N065,N042,212,mixed
OD1450,N016,N063,470,mixed
OD1451,N034,N063,98,school
OD1452,N088,N117,283,commute
OD1453,N079,N050,263,commercial
OD1454,N031,N054,175,school
OD1455,N081,N063,175,school
OD1456,N039,N031,277,mixed
OD1457,N102,N034,323,commute
OD1458,N016,N004,239,school
OD1459,N083,N034,487,commute
OD1460,N116,N036,287,mixed
OD1461,N105,N023,106,school
OD1462,N074,N018,308,school
OD1463,N103,N009,193,commercial
OD1464,N020,N120,280,mixed
OD1465,N036,N023,204,school
OD1466,N096,N056,440,commercial
OD1467,N116,N048,124,mixed
OD1468,N013,N047,74,commute
OD1469,N115,N078,313,commercial
OD1470,N004,N071,355,mixed
OD1471,N010,N034,410,commute
OD1472,N099,N065,396,commercial
OD1473,N085,N093,162,school
OD1474,N062,N114,45,school
OD1475,N070,N039,363,commercial
OD1476,N034,N028,435,school
OD1477,N096,N087,283,commute
OD1478,N090,N002,277,commute
OD1479,N052,N115,109,commercial
OD1480,N113,N016,458,commute
OD1481,N119,N089,315,commute
OD1482,N035,N093,349,commute
OD1483,N103,N037,159,commute
OD1484,N078,N004,389,school
OD1485,N053,N062,55,mixed
OD1486,N115,N026,196,school
OD1487,N071,N097,318,mixed
OD1488,N035,N053,106,mixed
OD1489,N116,N019,150,commercial
OD1490,N070,N080,83,commute
OD1491,N031,N061,159,school
OD1492,N113,N063,198,school
OD1493,N069,N009,445,commercial
OD1494,N006,N102,482,commercial
OD1495,N111,N084,469,school
OD1496,N066,N102,347,school
OD1497,N097,N056,51,mixed
OD1498,N085,N057,99,commercial
OD1499,N049,N104,253,commute
OD1500,N096,N037,284,commercial
